group	chao1	shannon
Bacteria	1385.710145	9.243677
Bacteria	1750.135135	9.629188
Bacteria	1562.818182	9.370275
Bacteria	1581.867347	9.518557
Bacteria	1532	9.247314
Bacteria	1544.33871	9.273624
Bacteria	1459.107143	9.286063
Bacteria	1225.243902	9.054045
Bacteria	1225.352941	9.07474
Bacteria	1460.338235	9.345985
Bacteria	1449.451613	9.501557
Bacteria	1374.882353	9.209462
Bacteria	1516.016667	9.314628
Bacteria	1307.978261	8.997313
Bacteria	1652.886076	9.580454
Bacteria	1435.517857	9.207203
Bacteria	1655.666667	9.331122
Bacteria	1484.558442	9.208108
Bacteria	1680.441558	9.550352
Bacteria	1507.380952	9.305467
Bacteria	1173.6875	7.590285
Bacteria	1630.825	9.470559
Bacteria	1611	9.563472
Bacteria	1307.40678	9.185576
Bacteria	1591.220779	9.361245
Bacteria	1129.617647	8.957326
Bacteria	1344.590909	9.106963
Bacteria	1605.580645	9.420693
Bacteria	1603.901408	9.4303
Bacteria	1686.5	9.584795
Bacteria	1484	9.076352
Bacteria	1618.701149	9.495012
Bacteria	1512.478261	9.373398
Bacteria	1288.566038	9.154775
Bacteria	1127.914894	8.873258
Bacteria	713.3703704	8.211323
Bacteria	1282.666667	8.927576
Bacteria	1916.395604	9.796217
Bacteria	1549.984375	9.315331
Bacteria	1111.294118	8.705148
Bacteria	1450.897059	9.212276
Bacteria	1507.958904	9.362902
Bacteria	1608.193548	9.544089
Bacteria	1697.53012	9.625416
Bacteria	1552.241935	9.512458
Bacteria	1104.468085	8.680343
Bacteria	1595.681319	9.555537
Bacteria	1491.288136	9.235456
Bacteria	807.5294118	8.722322
Bacteria	539.1666667	7.625669
Bacteria	1617.166667	9.448201
Bacteria	1415.121622	9.472257
Bacteria	1665.785714	9.567281
Bacteria	1526.684932	9.447879
Bacteria	1283.456522	8.669692
Bacteria	1565.4375	9.517976
Bacteria	1210.765957	9.041459
Bacteria	1786.304878	9.756768
Bacteria	1707.54878	9.626206
Bacteria	1741.740741	9.721373
Bacteria	1665.117647	9.32064
Bacteria	1372.333333	8.811781
Bacteria	1596.33871	9.369814
Bacteria	1520.466667	9.100027
Bacteria	1543.465753	9.461557
Bacteria	1609.961538	9.257933
Bacteria	1500.261364	9.252977
Bacteria	1552.118421	9.467903
Bacteria	1423.333333	8.767715
Bacteria	1380.631579	9.059057
Bacteria	1461.026316	9.060878
Bacteria	1602.75	9.306222
Bacteria	1678.379747	9.493103
Bacteria	1531.590164	9.381622
Bacteria	1730.407407	9.473868
Bacteria	1519.080645	8.89356
Bacteria	1383.5	8.901688
Bacteria	1491.865854	9.298037
Bacteria	1161.714286	8.859619
Bacteria	1740.924051	9.7517
Bacteria	1912.639175	9.824644
Bacteria	1460.059701	8.926659
Bacteria	1735.073171	9.626387
Bacteria	1594.024096	9.443133
Bacteria	1684.315217	9.620984
Bacteria	1686.585106	9.223612
Bacteria	1627.272727	9.283295
Bacteria	1602.381579	9.297626
Bacteria	939.1034483	8.609345
Bacteria	1353.118421	9.136594
Bacteria	1775.5	9.679758
Bacteria	1696.22973	9.499717
Bacteria	1687.818182	9.633711
Bacteria	1722.631579	9.4859
Bacteria	1745.846154	9.510805
Bacteria	1411.4	9.100853
Bacteria	1762.820896	9.59296
Bacteria	1578.014286	9.360007
Bacteria	1582.901408	8.878856
Bacteria	1716.358696	9.512263
Bacteria	1112.75	8.714301
Bacteria	808.0285714	8.615488
Bacteria	1768.263889	9.47399
Bacteria	1738.142857	9.382356
Bacteria	1288.263158	8.978552
Bacteria	1270.77551	9.249216
Bacteria	1269.448276	9.282755
Bacteria	1292.615385	9.247835
Bacteria	1259.454545	9.095547
Bacteria	1065.865385	8.84371
Bacteria	735.1290323	7.950369
Bacteria	1394.981132	9.203776
Bacteria	1284.571429	9.229535
Bacteria	1023.116279	8.564435
Bacteria	1023.666667	8.689527
Bacteria	1187.125	8.87768
Bacteria	978.5384615	8.69467
Bacteria	1242.119403	8.969953
Bacteria	1198.603448	8.963695
Bacteria	1311.022727	9.034376
Bacteria	1147.538462	8.864445
Bacteria	1183.638298	8.961535
Bacteria	1055.4	8.441448
Bacteria	1056.348837	8.780847
Bacteria	1240.621622	8.922824
Bacteria	773.5517241	7.634471
Bacteria	726.6666667	7.274252
Bacteria	1534.863014	9.232015
Bacteria	1179.122449	8.911486
Bacteria	1396.5	8.599095
Bacteria	921.5555556	8.398875
Bacteria	868.5517241	8.211578
Bacteria	1238.465753	8.76288
Bacteria	1362.880597	8.691121
Bacteria	1217.042553	8.849458
Bacteria	1401.263889	8.967272
Bacteria	1048.837838	9.029486
Bacteria	991.4054054	8.812808
Bacteria	792.1071429	8.035381
Bacteria	1068.058824	8.96543
Bacteria	1537.666667	9.086629
Bacteria	1210.820896	8.974068
Bacteria	1294.98913	9.07758
Bacteria	1474.295918	9.148506
Bacteria	1180.340909	8.353876
Bacteria	937.7368421	7.385062
Bacteria	1612.609756	9.168702
Bacteria	1142.307692	8.324436
Bacteria	1340.727273	8.397666
Bacteria	1481.4	9.020667
Bacteria	1581.636364	9.248822
Bacteria	1564.514563	9.358845
Bacteria	1177.178571	8.619736
Bacteria	1433.359551	9.188278
Bacteria	1610.609756	9.31909
Bacteria	1569.26087	9.319437
Bacteria	1099.195652	8.474262
Bacteria	1603.010526	9.148511
Bacteria	1519.636364	8.962143
Bacteria	1534.744186	9.320828
Bacteria	1653.9	9.260288
Bacteria	1738.759615	9.426254
Bacteria	1596.333333	9.423386
Bacteria	1550.477612	9.230264
Bacteria	1418.858974	9.101028
Bacteria	963.1754386	5.136583
Bacteria	1448.443038	8.925972
Bacteria	1199.2	8.788638
Bacteria	963.875	5.181374
Bacteria	1469.671642	9.084834
Bacteria	1110.411765	7.800065
Bacteria	1063.519231	7.745097
Bacteria	1584.347826	9.182455
Bacteria	1436.43617	8.096189
Bacteria	1356.017241	7.499027
Bacteria	1524.613333	9.285463
Bacteria	1368.967213	8.603191
Bacteria	1287.916667	8.038431
Bacteria	1539.375	9.500388
Bacteria	1237.655172	8.532661
Bacteria	1465.846154	7.221535
Bacteria	1359.283582	9.076851
Bacteria	1595.220588	9.379837
Bacteria	1632.069767	9.231169
Bacteria	1346.253521	8.933038
Bacteria	1666.387097	9.448266
Bacteria	1277.8	8.350834
Bacteria	1227.380282	8.565447
Bacteria	1363.561644	9.061553
Bacteria	1395.764706	9.325279
Bacteria	1213.95	9.219369
Bacteria	1268.153846	9.129757
Bacteria	1457.467532	9.223142
Bacteria	1421.411765	9.149121
Bacteria	1202.515152	8.810452
Bacteria	1354.323944	9.082761
Bacteria	1527.3	9.30667
Bacteria	1450.666667	9.020421
Bacteria	1418.012346	9.151213
Bacteria	1107.294118	7.428572
Bacteria	1149.02381	8.857309
Bacteria	1218.796875	8.50888
Bacteria	1125.622222	8.935579
Bacteria	1075.28169	8.892986
Bacteria	1114.797101	8.840806
Bacteria	1350.518519	8.916557
Bacteria	1576.075	9.243203
Bacteria	1080.842105	8.215445
Bacteria	1046.025	8.869089
Bacteria	1430.375	8.752497
Bacteria	1024.081967	8.6076
Bacteria	1522.5	9.547867
Bacteria	1209.957746	8.96693
Bacteria	1476.655172	9.174318
Bacteria	1264.68	7.032219
Bacteria	1137.918033	8.704719
Bacteria	1287.113924	8.50874
Bacteria	988.7971014	7.615164
Bacteria	1193.559322	7.888303
Bacteria	1578.28125	9.181914
Bacteria	892	8.660715
Bacteria	697.3225806	7.726373
Bacteria	1527.789474	9.419055
Bacteria	1064.022222	8.051127
Bacteria	699.3030303	7.914426
Bacteria	1309.454545	9.16663
Bacteria	919.4716981	7.926483
Bacteria	696.5675676	8.328092
Bacteria	972.9672131	8.399313
Bacteria	1194.125	8.936568
Bacteria	941.25	5.305942
Bacteria	799.0545455	5.344216
Bacteria	931.0222222	7.942336
Bacteria	949.8928571	8.433236
Bacteria	974.5	8.788011
Bacteria	871.1333333	7.786248
Bacteria	603.0666667	8.040797
Bacteria	655.7142857	7.482067
Bacteria	432.2352941	6.511649
Bacteria	483.0769231	7.398587
Bacteria	790.2727273	7.455621
Bacteria	724	7.693871
Bacteria	462.04	3.46132
Bacteria	1043.184211	7.914689
Bacteria	848.3870968	7.50136
Bacteria	1076.2	8.842196
Bacteria	532.2758621	4.886465
Bacteria	826.0384615	7.992493
Bacteria	736.6666667	7.304586
Bacteria	926.5	5.13379
Bacteria	1090.245902	7.49069
Bacteria	951.9148936	8.528508
Bacteria	512.2564103	2.408374
Bacteria	1315.54902	7.727382
Bacteria	322.1428571	6.969431
Bacteria	805.59375	8.437668
Bacteria	1279.018519	9.179207
Bacteria	1156.058824	6.735018
Bacteria	1065.591837	8.247745
Bacteria	543.0555556	6.939708
Bacteria	644.1290323	6.499701
Bacteria	375.5	2.041238
Bacteria	416	3.729937
Bacteria	1373.245283	9.262554
Bacteria	1157.40625	8.913233
Bacteria	979.3414634	8.236338
Bacteria	1045.333333	8.705612
Bacteria	1317.352941	8.823665
Bacteria	1102.72	8.941695
Bacteria	640.6764706	2.479588
Bacteria	668.75	2.304311
Bacteria	1074.825	8.816007
Bacteria	983.1052632	8.687384
Bacteria	1676.655172	9.574058
Bacteria	906.7884615	8.378936
Bacteria	1038.609756	8.806664
Bacteria	1085.44186	8.861724
Bacteria	1142.551724	9.009374
Bacteria	1252	8.911098
Bacteria	1209.615385	9.070046
Bacteria	1316.185185	9.230279
Bacteria	806.6216216	6.672605
Bacteria	1179.4	8.847772
Bacteria	1398.8	9.165538
Bacteria	640.1935484	7.198267
Bacteria	795.525	8.299523
Bacteria	563.2857143	7.458271
Bacteria	1184.033898	8.350121
Bacteria	1172.865385	8.99042
Bacteria	916.6756757	8.425392
Bacteria	1132.769231	8.931574
Bacteria	1112.842105	8.954516
Bacteria	1264.178082	8.883624
Bacteria	1124.375	8.974737
Bacteria	1099.272727	9.084783
Bacteria	1151.418605	9.131256
Bacteria	948.5283019	8.480452
Bacteria	1126	8.686141
Bacteria	1263.932203	9.089016
Bacteria	1133.358491	9.048406
Bacteria	1128.6	8.452187
Bacteria	1055.166667	8.794709
Bacteria	1177	9.085556
Bacteria	1036.323529	8.665168
Bacteria	1319.754098	9.219125
Bacteria	1085.714286	8.928157
Bacteria	991.0789474	8.420141
Bacteria	1129.170213	8.985519
Bacteria	1354.803571	9.405222
Bacteria	1265.153846	9.199131
Bacteria	1256.1875	9.214235
Bacteria	1164.775862	9.06478
Bacteria	1134.108696	8.7783
Bacteria	899.5277778	8.573376
Bacteria	1640.891566	9.445847
Bacteria	1146.166667	8.685885
Bacteria	1058.0625	8.956559
