Bacteria	Archaea
0.183334	0.613318
0.572537	0.301863
0.584452	0.613316
0.387993	0.301868
0.39549	0.323707
0.256315	0.233163
0.169252	0.613316
0.183334	0.301868
0.569351	0.323707
0.584452	0.233163
0.387993	0.613316
0.361683	0.301868
0.256315	0.323707
0.227054	0.233163
0.412476	0.616045
0.374598	0.292839
0.265558	0.556445
0.169252	0.491822
0.346179	0.413226
0.182829	0.366329
0.511806	0.604113
0.584452	0.473382
0.460464	0.333048
0.285332	0.67055
0.387993	0.364729
0.696637	0.274633
0.472516	0.325496
0.340816	0.368706
0.361683	0.520144
0.256315	0.448777
0.717992	0.454656
0.412476	0.448598
0.239009	0.39208
0.374598	0.483466
0.265558	0.696676
0.54563	0.47125
0.21532	0.336807
0.322326	0.452449
0.225286	0.30126
0.169252	0.208598
0.264924	
0.346179	
0.260257	
0.202932	
0.463641	
0.584452	
0.459193	
0.421662	
0.398926	
0.521763	
0.285332	
0.387993	
0.714659	
0.472516	
0.435176	
0.340816	
0.223877	
0.49358	
0.361683	
0.256315	
0.717992	
0.287296	
0.42787	
0.429728	
0.356853	
0.529751	
0.374598	
0.265558	
0.479878	
0.362212	
0.359463	
0.54563	
0.21532	
0.322326	
0.243025	
0.344926	
0.21395	
0.161095	
0.359908	
0.225286	
0.179273	
0.183225	
0.264924	
0.274894	
0.346179	
0.375955	
0.233635	
0.260257	
0.209779	
0.463641	
0.54699	
0.421662	
0.385285	
0.358085	
0.486636	
0.679157	
0.595749	
0.285332	
0.310362	
0.343221	
0.679473	
0.469897	
0.287147	
0.585322	
0.435176	
0.320705	
0.340816	
0.223877	
0.510978	
0.49358	
0.361683	
0.174086	
0.707725	
0.32653	
0.41643	
0.42787	
0.379656	
0.429728	
0.348601	
0.274894	
0.632091	
0.326803	
0.302012	
0.478662	
0.771359	
0.20826	
0.374598	
0.265822	
0.386894	
0.244489	
0.692795	
0.479878	
0.534572	
0.339301	
0.303853	
0.370654	
0.362212	
0.359463	
0.54563	
0.291796	
0.322326	
0.253146	
0.243025	
0.447734	
0.27907	
0.47903	
0.367685	
0.241752	
0.344926	
0.286876	
0.356497	
0.21395	
0.223341	
0.33138	
0.276148	
0.216085	
0.271316	
0.252306	
0.161095	
0.359908	
0.396106	
0.408572	
0.179273	
0.345865	
0.527543	
0.197741	
0.197464	
0.183225	
0.369541	
0.32914	
0.264924	
0.287338	
0.274894	
0.346179	
0.333207	
0.297636	
0.212821	
0.233635	
0.188336	
0.433734	
0.314673	
0.260257	
0.387524	
