id	a	b
1	0.1973507	0.633919944
2	0.1367117	0.484247566
3	0.1864334	0.744691586
4	0.2669011	0.49898451
5	0.2154272	0.521235457
6	0.2336805	0.75475839
7	0.2231607	0.647302347
8	0.1192696	0.737284978
9	0.1524204	0.66116927
10	0.2416754	0.690538693
11	0.1988911	0.702104554
12	0.220499	0.727859405
13	0.1446014	0.783139326
14	0.2168607	0.667710127
15	0.2024668	0.477688002
16	0.2022481	0.627384961
17	0.1866592	0.697739629
18	0.1801083	0.684717886
19	0.2119932	0.695701314
20	0.2535064	0.644829346
21	0.1234428	0.546305006
22	0.1170867	0.720032679
23	0.1737743	0.62570063
24	0.1213663	0.735387715
25	0.1619149	0.530709451
26	0.1941283	0.743747074
27	0.2105445	0.855448403
28	0.1735041	0.763039615
29	0.1151571	0.618678971
30	0.1128418	0.47470743
31	0.1746395	0.547509782
32	0.1126256	0.299365247
33	0.131227	0.599673875
34	0.2105308	0.73285161
35	0.1161214	0.764337305
36	0.2467674	0.671133613
37	0.2276822	0.806206089
38	0.1123613	0.682553635
39	0.1936803	0.505971541
40	0.1068888	0.646120225
41	0.1012678	0.731463482
42	0.2003755	0.748719855
43	0.1804186	0.790342518
44	0.2294525	0.737295669
45	0.116154	0.738317364
46	0.2062891	0.66887171
47	0.2378089	0.776016376
48	0.1879221	0.430797309
49	0.165013	0.819134488
50	0.2941543	0.55646556
51	0.1734544	0.667701141
52	0.1771973	0.553085825
53	0.1280471	0.721231038
54	0.1132464	0.580810938
55	0.1889639	0.635358651
56	0.1369888	0.565352507
57	0.2318427	0.750452708
58	0.1638237	0.585528806
59	0.1865571	0.702026372
60	0.1061544	0.643776332
61	0.1496993	0.667763645
62	0.1288364	0.690513463
63	0.216232	0.624174074
64	0.1325592	0.651394669
65	0.1039714	0.721053101
66	0.2305999	0.574946576
67	0.1181461	0.715030448
68	0.179844	0.791143081
69	0.227251	0.599920223
70	0.2320222	0.572574013
71	0.1035787	0.674533755
72	0.1927823	0.564430028
73	0.2137515	0.642484982
74	0.1145844	0.83976917
75	0.1986647	0.812034752
76	0.2209971	0.485182348
77	0.1759008	0.722122912
78	0.238457	0.597144468
79	0.1692195	0.785030219
80	0.1867249	0.586744499
81	0.2305573	0.726017858
82	0.2391622	0.669019596
83	0.2330284	0.608756507
84	0.203944	0.547217745
85	0.210026	0.901453257
86	0.2939893	0.848361747
87	0.1679547	0.661704114
88	0.1730238	0.679839626
89	0.1195648	0.686308101
90	0.2960048	0.515217241
91	0.1598244	0.454753754
92	0.2230409	0.389853317
93	0.2371686	0.795006041
94	0.2523702	0.429785903
95	0.2486118	0.487994001
96	0.1740449	0.543588313
97	0.1499647	0.733138796
98	0.1084802	0.687887829
99	0.1196338	0.393391432
100	0.260214	0.734713091
101	0.141794	0.537214017
102	0.1014457	0.728889268
103	0.1486951	0.662063486
104	0.1165458	0.698349529
105	0.1656008	0.761010202
106	0.1975411	0.645971619
107	0.2419605	0.61865271
108	0.2130997	0.599737885
109	0.1775704	0.728766797
110	0.2259189	0.737474274
111	0.1003917	0.50606239
112	0.1745078	0.679122552
113	0.1161978	0.548615449
114	0.2161434	0.422884443
115	0.2283028	0.563327221
116	0.1127567	0.737280741
117	0.1757693	0.538663172
118	0.103684	0.34463688
119	0.1733855	0.519076943
120	0.1347277	0.583024159
121	0.1959908	0.789220855
122	0.1180388	0.851159476
123	0.2030029	0.745006428
124	0.1989172	0.584131841
125	0.1102665	0.652345519
126	0.1879421	0.694901415
127	0.1050351	0.38988744
128	0.2259434	0.620823736
129	0.2970425	0.43327677
130	0.2216809	0.72056347
131	0.1961683	0.534125857
132	0.2309245	0.813279093
133	0.1057618	0.828105727
134	0.1134772	0.652130844
135	0.114804	0.452015294
136	0.1789255	0.423994869
137	0.2140327	0.57353236
138	0.1209148	0.451499583
139	0.2571503	0.76356626
140	0.1710073	0.567103466
141	0.1547818	0.447872931
142	0.2364911	0.734834399
143	0.1768814	0.821279614
144	0.2611298	0.809102943
145	0.2390487	0.702555408
146	0.1484798	0.806899982
147	0.1910831	0.45016755
148	0.1573384	0.740742485
149	0.2383732	0.644832572
150	0.2762541	0.738831008
151	0.239678	0.766326461
152	0.184895	0.771545286
153	0.174237	0.518332408
154	0.1791293	0.585312956
155	0.1418068	0.675229774
156	0.2322253	0.609599782
157	0.2411824	0.702480099
158	0.2213477	0.791058021
159	0.1899279	0.759364715
160	0.2157422	0.655933968
161	0.2081744	0.651025616
162	0.1892589	0.639191835
163	0.2538774	0.48828488
164	0.2184805	0.586624147
165	0.1194522	0.602352647
166	0.193651	0.737805681
167	0.2660598	0.302569787
168	0.2342349	0.764838256
169	0.1977053	0.585325529
170	0.2537655	0.623465285
171	0.1846571	0.682240343
172	0.2176073	0.796148718
173	0.1919211	0.794725623
174	0.1913404	0.479712243
175	0.1640494	0.611938148
176	0.1973179	0.778386867
177	0.1216904	0.766905658
178	0.2100711	0.774640865
179	0.1335974	0.48334097
180	0.1536196	0.767921998
181	0.2355392	0.518777583
182	0.2098839	0.679679606
183	0.1463433	0.723156515
184	0.2024736	0.681135384
185	0.2190128	0.468440323
186	0.1626841	0.669977891
187	0.1002926	0.721249069
188	0.1601637	0.629277101
189	0.1187353	0.461293488
190	0.2319495	0.458452722
191	0.2296407	0.774788576
192	0.1002523	0.600048136
193	0.2345982	0.755109983
194	0.2575609	0.74294992
195	0.178845	0.734276971
196	0.1191062	0.538191708
197	0.247209	0.410709594
198	0.1004923	0.870060609
199	0.1571291	0.704650739
200	0.1162033	0.724992612
201	0.1175345	0.575782594
202	0.1057881	0.5964835
203	0.1852824	0.518592064
204	0.263543	0.860769258
205	0.1931032	0.646945521
206	0.2293335	0.839686176
207	0.2014355	0.509030894
208	0.1943095	0.637171814
209	0.2506172	0.565235726
210	0.2474711	0.578014671
211	0.1891356	0.782160254
212	0.1296931	0.462374303
213	0.2677802	0.60142275
214	0.2211627	0.830518926
215	0.1154816	0.665247529
216	0.2359439	0.77579338
217	0.103333	0.548966045
218	0.1992886	0.852369114
219	0.1049078	0.612797395
220	0.1443594	0.742628629
221	0.126809	0.426067511
222	0.1500886	0.89987795
223	0.1049927	0.633854305
224	0.1012595	0.739366935
225	0.2529835	0.795769753
226	0.1152704	0.655271523
227	0.1852792	0.526800405
228	0.2261813	0.694145972
229	0.1305974	0.599022212
230	0.1017634	0.652367435
231	0.1855709	0.732673704
232	0.1276766	0.51157869
233	0.2170411	0.52979948
234	0.1940964	0.651249627
235	0.2782194	0.855084853
236	0.2204277	0.81298463
237	0.1863603	0.80388284
238	0.2347479	0.804345614
239	0.1609567	0.693461504
240	0.2321718	0.666492754
241	0.1860255	0.512924449
242	0.1984608	0.646563069
243	0.2156706	0.850606439
244	0.2862647	0.74905019
245	0.2603194	0.764919181
246	0.2246584	0.699041858
247	0.2027631	0.58543325
248	0.1868533	0.513948987
249	0.2550035	0.65885305
250	0.2083994	0.715889541
251	0.1197644	0.610780582
252	0.1094515	0.624005619
253	0.1048026	0.58645917
254	0.1923355	0.640978379
255	0.1008741	0.86540449
256	0.1064988	0.689126807
257	0.2338861	0.690548678
258	0.1955973	0.537524501
259	0.1051681	0.373041504
260	0.2794388	0.767738434
261	0.212994	0.650290785
262	0.1932764	0.793991194
263	0.2109515	0.416387218
264	0.1567432	0.63946728
265	0.1062178	0.77650829
266	0.2157709	0.791403379
267	0.2270998	0.74257207
268	0.1885625	0.749838696
269	0.3072289	0.472374718
270	0.2191863	0.700209359
271	0.2082577	0.866935525
272	0.1968306	0.704447084
273	0.1646137	0.753348667
274	0.1842443	0.546145843
275	0.1327383	0.656905934
276	0.1821342	0.514256404
277	0.2311468	0.553902596
278	0.2046935	0.737593253
279	0.2624654	0.696339313
280	0.1491256	0.630054718
281	0.1765247	0.684278263
282	0.2225722	0.793409854
283	0.1963762	0.585677253
284	0.1302393	0.841951434
285	0.2535761	0.6828842
286	0.2135782	0.688817181
287	0.2830831	0.7798022
288	0.1516495	0.556945741
289	0.1001697	0.636380576
290	0.1271106	0.673671818
291	0.2004794	0.369308499
292	0.1600423	0.635754377
293	0.1100156	0.610696959
294	0.1272805	0.422477141
295	0.157471	0.777339334
296	0.1408067	0.472454964
297	0.1800079	0.711614251
298	0.2276522	0.700138347
299	0.179368	0.768761592
300	0.1215879	0.668786235
301	0.1696977	0.612550462
302	0.1053465	0.62427133
303	0.1900781	0.807271026
304	0.2679435	0.653057927
305	0.2399934	0.715523457
306	0.2750259	0.743009807
307	0.2064435	0.639706356
308	0.1957402	0.441856656
309	0.1395389	0.607113123
310	0.1519749	0.818071595
311	0.1637744	0.595751204
312	0.2223419	0.789117157
313	0.1592758	0.578797968
314	0.1801368	0.481067653
315	0.2022819	0.609603603
316	0.1096318	0.736624441
317	0.1040804	0.735133633
318	0.2245347	0.696315789
319	0.1664447	0.830671617
320	0.2102121	0.838408761
321	0.2057814	0.785216462
322	0.181996	0.781395057
323	0.2190253	0.6077343
324	0.2694963	0.682838163
325	0.1104765	0.889780514
326	0.196729	0.752033929
327	0.2108586	0.642056113
328	0.2121777	0.610227473
329	0.1888896	0.808198241
330	0.2330657	0.782015775
331	0.3118161	0.859304952
332	0.2402763	0.809089869
333	0.2474755	0.495756541
334	0.16047	0.496357558
335	0.2183401	0.531499781
336	0.1185703	0.837433107
337	0.2316865	0.769705804
338	0.1761992	0.583155003
339	0.2259306	0.761036765
340	0.213002	0.580027875
341	0.2443849	0.743072439
342	0.19565	0.812635686
343	0.1214093	0.656087191
344	0.1067132	0.602261948
345	0.2574417	0.820105337
346	0.1223822	0.635470987
347	0.2708132	0.747388131
348	0.1447727	0.805095119
349	0.1848405	0.705385131
350	0.2411774	0.721947158
351	0.1321714	0.636173411
352	0.3247169	0.730760624
353	0.1952128	0.701248092
354	0.1401452	0.593939176
355	0.175388	0.719666856
356	0.1037727	0.80362441
357	0.1617024	0.576593938
358	0.2099947	0.811023728
359	0.1168261	0.678120082
360	0.226361	0.691799517
361	0.1078646	0.716536069
362	0.19128	0.621903869
363	0.1076818	0.670325661
364	0.1293384	0.545773117
365	0.1864458	0.644378055
366	0.2307902	0.745464838
367	0.2276672	0.640021786
368	0.222442	0.717409935
369	0.1661902	0.749679153
370	0.2460403	0.546180576
371	0.2352378	0.685309771
372	0.1123185	0.466833528
373	0.1567083	0.800528964
374	0.2163677	0.624219936
375	0.2261354	0.68045711
376	0.2517078	0.624695034
377	0.2662932	0.659512837
378	0.2423541	0.487022878
379	0.2158853	0.689145886
380	0.1505199	0.647190574
381	0.1765771	0.388564778
