id	a	b
1	0.01270364	0.582039693
2	0.01674285	0.718996193
3	-0.01171228	0.732656188
4	-0.002544856	0.757664743
5	-0.01467446	0.683956885
6	-0.01152578	0.510312267
7	-0.009741018	0.627846951
8	0.007671592	0.653826524
9	-0.003674297	0.659573688
10	-0.03094936	0.533447082
11	0.005728122	0.619379154
12	-0.01763224	0.777599877
13	0.01998976	0.567524925
14	0.01343832	0.77474093
15	-0.008480756	0.662281324
16	-0.01538706	0.198520994
17	-0.002111141	0.678302295
18	0.002766527	0.703664974
19	-0.02242552	0.502554531
20	-0.008888772	0.744577637
21	-0.009480983	0.677346145
22	-0.03803203	0.51876504
23	-0.03392565	0.823740925
24	-0.0116041	0.738140379
25	-0.02666323	0.568966745
26	0.01016537	0.709720772
27	0.001229579	0.604779412
28	-0.01146295	0.739062888
29	0.007115057	0.560542108
30	-0.004906851	0.560924223
31	0.000995256	0.601965927
32	-0.02406664	0.773034304
33	-0.03433942	0.589561847
34	0.02462463	0.741290641
35	-0.02121797	0.556786184
36	0.002394283	0.401025225
37	0.01826812	0.653237902
38	0.01605328	0.659534313
39	0.01449335	0.761866682
40	0.03174545	0.244751704
41	0.02554678	0.626232623
42	-0.01974763	0.704350831
43	-0.01441293	0.730796637
44	0.03012131	0.708387542
45	-0.03248779	0.523769249
46	0.01532482	0.574803982
47	0.03477813	0.641221651
48	-0.006747464	0.731222743
49	0.01603606	0.476307793
50	-0.03194355	0.689294394
51	-0.004488519	0.758298742
52	0.0024989	0.519352285
53	0.007178151	0.452480169
54	0.01561698	0.368768958
55	-0.02604594	0.605798248
56	-0.01024226	0.59680261
57	0.003764896	0.728769217
58	-0.02136697	0.805020207
59	0.006590154	0.466999179
60	-0.00034051	0.725066567
61	0.00097503	0.631537683
62	-0.000873123	0.490841872
63	0.001586636	0.639662866
64	0.01139451	0.406325
65	-0.04877828	0.514189395
66	0.01105011	0.379970844
67	-0.01248451	0.798908904
68	-0.02007542	0.726301018
69	-0.002165722	0.743343937
70	-0.0118761	0.341490881
71	-0.01313998	0.51741584
72	0.01031563	0.492051657
73	-0.01294367	0.605729573
74	-0.01419339	0.723956615
75	-0.01673661	0.489378169
76	-0.01685719	0.578305308
77	0.014391	0.733898615
78	-0.01743893	0.723173155
79	-0.03764644	0.655988711
80	0.03211365	0.597669938
81	-0.01278366	0.633961284
82	-0.03505724	0.444052624
83	-0.04500483	0.676964665
84	0.03036227	0.821558454
85	0.01652445	0.594614354
86	-0.01844644	0.605219709
87	-0.02189045	0.618885898
88	-0.02529756	0.658973672
89	-0.01560389	0.656305805
90	-0.005618806	0.591766976
91	-0.02270763	0.736973282
92	-0.01836286	0.749375766
93	6.01E-05	0.45614684
94	-0.005016575	0.721916311
95	-0.01536665	0.656271491
96	-0.03863371	0.727104711
97	-0.02557419	0.462910304
98	-0.002877198	0.71179072
99	-0.01524366	0.517988647
100	-0.01460832	0.505119173
101	0.01293066	0.424716442
102	-0.004564662	0.523487255
103	-0.002111764	0.783752301
104	0.007354327	0.549443028
105	0.00211046	0.508666039
106	-0.01477287	0.303925332
107	-0.01398997	0.733608978
108	-0.02546037	0.788034134
109	-0.005715522	0.663257663
110	0.02560322	0.651278704
111	0.0286698	0.504219654
112	-0.01966428	0.740794982
113	-0.02130426	0.671578225
114	0.007957252	0.373530703
115	-0.03530325	0.696038744
116	0.04156716	0.807937803
117	0.007769308	0.17377699
118	-0.01376615	0.677604225
119	-0.01638302	0.583089003
120	4.32E-06	0.770307455
121	0.02227998	0.548948081
122	0.02575605	0.635540363
123	-0.01046463	0.67289771
124	0.002614883	0.467667692
125	0.04090473	0.429098303
126	0.01958095	0.568788112
127	-0.01226845	0.605204012
128	0.002146702	0.400966349
129	-0.02449801	0.244308791
130	-0.006374302	0.501969179
131	0.02091695	0.509007957
132	0.0212833	0.618823645
133	-0.01467259	0.332780189
134	-0.03268638	0.542929339
135	-0.01990945	0.579224293
136	-0.02930315	0.640379208
137	0.01067638	0.475078082
138	-0.001523116	0.602093793
139	0.003165672	0.671115697
140	0.01711854	0.386900617
141	0.008305024	0.586325575
142	-0.02795671	0.72767771
143	-0.05176869	0.586548884
144	0.02442649	0.571522027
145	-0.008450636	0.501832745
146	0.00600618	0.778640797
147	-0.01765101	0.510298585
148	-0.002214174	0.539791014
149	0.002101227	0.677217008
150	-0.03470498	0.58003777
151	-0.005316619	0.62179159
152	-0.01826692	0.714785073
153	0.006491092	0.609494599
154	-0.03354438	0.352057257
155	-0.01149998	0.598018954
156	-0.0305117	0.650703131
157	-0.02167092	0.566827341
158	-0.002584024	0.718449119
159	-0.009316852	0.77187092
160	0.006055132	0.715450537
161	0.0275506	0.639834156
162	-0.03378602	0.537540838
163	0.02330296	0.647425162
164	-0.05498758	0.374817656
165	0.01090977	0.351557802
166	0.03330677	0.530075794
167	-0.01489673	0.806204845
168	-0.002308006	0.695663169
169	-0.005916222	0.76468358
170	0.01733562	0.70633612
171	-0.00090125	0.669202889
172	0.007429491	0.585289847
173	-0.02567341	0.731147134
174	-0.01601666	0.639623487
175	-0.02319355	0.69890851
176	0.007222418	0.739158402
177	-0.005689782	0.612679136
178	-0.02896575	0.67406827
179	-0.007525855	0.828234675
180	-0.02347336	0.807436351
181	0.0202165	0.64479267
182	-0.001622669	0.787384953
183	-0.03555367	0.554356358
184	-0.0448945	0.63415444
185	0.02013554	0.609111553
186	-0.02534789	0.574192003
187	0.01427163	0.707298181
188	-0.01861553	0.719792133
189	0.03155271	0.460878167
190	-0.009293235	0.640150135
191	0.03855732	0.823724194
192	-0.02238229	0.55316859
193	0.01017346	0.607082817
194	0.04232795	0.685234811
195	0.01509467	0.745840466
196	-0.02074252	0.274696249
197	-0.04397711	0.693271345
198	-0.01143841	0.241288585
199	0.005000502	0.721491147
200	-0.01679211	0.76884178
201	-0.043296	0.637470261
202	0.01673471	0.45793359
203	-0.009705768	0.662471352
204	-0.02035157	0.626643983
205	0.004198756	0.753818285
206	-0.007469581	0.684826517
207	0.0112029	0.66574774
208	0.004082514	0.562675812
209	0.002959134	0.805462955
210	-0.03858394	0.60399543
211	-0.01775159	0.646877977
212	0.01504531	0.220568903
213	-0.01442822	0.75319077
214	-0.02776165	0.587984661
215	-0.01560825	0.652930716
216	-0.005486361	0.296104633
217	-0.01454552	0.49482156
218	-0.01581314	0.649492106
219	-0.04054988	0.492287016
220	-0.000659918	0.684384642
221	-0.003951948	0.607251448
222	0.03505583	0.756620612
223	-0.003318063	0.468670049
224	-0.01556271	0.657647453
225	-0.003879425	0.652799402
226	0.003772665	0.626230295
227	0.00631026	0.58812269
228	-0.02443482	0.502268641
229	0.02616203	0.738295657
230	0.006335046	0.769087223
231	0.03584246	0.656528993
232	-0.008691214	0.569231845
233	0.003890593	0.83231463
234	0.002154271	0.555369465
235	-0.02814049	0.688486488
236	-0.01487507	0.665103178
237	-0.007025805	0.73895063
238	-0.01429297	0.673477093
239	-0.01540016	0.556210584
240	-0.007700956	0.556118224
241	-0.00954357	0.598137586
242	0.00862967	0.570677403
243	-0.01641504	0.460639262
244	-0.03169115	0.753823861
245	-0.02833183	0.526431639
246	0.001218587	0.842911235
247	0.01267641	0.755756392
248	-0.01275308	0.549051808
249	-0.03032161	0.60886297
250	-0.03965467	0.573052573
251	0.005996423	0.576768861
252	-0.02554566	0.541232105
253	-0.03062561	0.626483082
254	0.01599687	0.595524539
255	0.006040469	0.601876756
256	0.001424106	0.499062811
