Heritability		Expressability		TWAS genes	
Core	Random	Core	Random	Core	Random
0.183334	0.155211	0.261147	0.046765	22	0
0.572537	0.000001	0.96853	0.577105	96	2
0.584452	0.169252	0.63341	0.151739	193	0
0.387993	0.057507	0.791994	0.771972	230	74
0.39549	0.16286	0.595456	0.314294	2	0
0.795764	0.002026	NA	0.265761	99	68
0.061756	0.256315	0.346099	NA	27	433
0.183334	0.412476	0.261147	0.70141	22	375
0.569351	0.152719	0.976039	0.024998	113	0
0.584452	0.230116	0.63341	NA	193	175
0.387993	0.000001	0.791994	0.577105	230	2
0.361683	0.066008	0.377659	0.00003	0	0
0.227054	0.169252	0.60249	0.151739	320	0
0.374598	0.057507	0.732869	0.771972	40	74
0.265558	0.346179	0.3306	0.93252	43	0
0.000001	0.136846	0.018963	0.000001	0	0
0.182829	0.002026	0.260546	0.265761	20	68
0.511806	0.256315	0.969625	NA	171	433
0.584452	0.412476	0.63341	0.70141	193	375
0.460464	0.239009	0.793477	0.559577	10	1
0.285332	0.152719	0.210265	0.024998	1	0
0.387993	0.645498	0.791994	0.006261	230	0
0.696637	0.332107	NA	0.005645	45	0
0.472516	0.000001	0.887558	0.577105	663	2
0.340816	0.136856	0.816188	0.037509	21	1
0.361683	0.096043	0.377659	0.092621	0	0
0.717992	0.225286	0.959258	0.187588	4	1
0.144396	0.169252	0.305037	0.151739	17	0
0.374598	0.138372	0.732869	0.000001	40	0
0.265558	0.230116	0.3306	NA	43	6
0.54563	0.264924	0.818406	0.581157	178	3
0.21532	0.000001	0.553201	0.040516	260	0
0.322326	0.057507	0.801041	0.771972	279	74
0.202932	0.346179	0.499524	0.93252	1	0
0.463641	0.268411	0.977747	0.000001	1	0
0.584452	0.002026	0.63341	0.265761	193	68
0.459193	0.260257	0.791973	0.017251	10	0
0.421662	0.256315	0.413968	NA	15	433
0.171301	0.356853	0.428162	0.739416	0	703
0.398926	0.123397	0.765538	0.125894	104	0
0.521763	0.152719	0.760758	0.024998	252	0
0.285332	0.003624	0.210265	0.522798	1	0
0.387993	0.14818	0.791994	0.328104	230	6
0.714659	0.359463	NA	0.121546	25	0
0.472516	0.243025	0.887558	0.03002	663	0
0.435176	0.344926	0.913807	0.174871	1246	1
0.340816	0.21395	0.816188	0.006348	21	0
0.223877	0.332107	0.462235	0.005645	0	0
0.49358	0.000001	0.851411	0.577105	195	2
0.361683	0.161095	0.377659	0.394456	0	0
0.096087	0.136856	0.010099	0.037509	2	1
0.717992	0.096043	0.959258	0.092621	4	0
0.287296	0.225286	0.131242	0.187588	699	1
0.42787	0.179273	0.974334	0.856663	6	11
0.429728	0.183225	0.589106	0.382353	6	12
0.529751	0.230116	0.917781	NA	134	6
0.374598	0.264924	0.732869	0.581157	40	3
0.265558	0.000001	0.3306	0.040516	43	0
0.479878	0.057507	0.844421	0.771972	511	74
0.362212	0.346179	0.558616	0.93252	1	0
0.54563	0.375955	0.818406	0.502403	178	0
0.21532	0.233635	0.553201	0.118225	260	1
0.322326	0.268411	0.801041	0.000001	279	0
0.160046	0.002026	0.327431	0.265761	0	68
0.031133	0.260257	0.440871	0.017251	8	0
0.179828	0.004094	0.604767	0.000001	2	0
0.359908	0.174086	0.645734	0.248464	0	0
0.274894	0.000001	0.631295	NA	2	1
0.209779	0.41643	0.502752	0.708694	1	0
0.463641	0.274894	0.977747	0.741225	1	198
0.54699	0.123397	0.576938	0.125894	189	0
0.072205	0.152719	0.501501	0.024998	0	0
0.421662	0.003624	0.413968	0.522798	15	0
0.171301	0.303853	0.428162	0.624999	0	67
0.385285	0.161445	0.778406	0.26663	83	2
0.358085	0.000001	0.756558	0.19724	2	3
0.486636	0.154928	0.754275	0.622943	103	171
