taxa	h2	e2
1.p__Bacteroidota	0.183334	0.261147
2.p__Firmicutes	0.572537	0.96853
3.p__Spirochaetota	0.584452	0.63341
4.p__Fibrobacterota	0.387993	0.791994
5.p__Patescibacteria	0.39549	0.595456
6.p__Proteobacteria	0.256315	0.487456
7.p__Actinobacteriota	0.061756	0.346099
8.p__Elusimicrobiota	0.155211	0.079068
9.p__Bdellovibrionota	0.000001	0.134543
10.p__Campilobacterota	0.169252	0.575287
11.p__Synergistota	0.057507	0.402576
12.p__Verrucomicrobiota	0.16286	0.008242
13.p__Chloroflexi	0.002026	0.022575
1.c__Bacteroidia	0.183334	0.261147
2.c__Clostridia	0.569351	0.976039
3.c__Spirochaetia	0.584452	0.63341
4.c__Fibrobacteria	0.387993	0.791994
5.c__Gracilibacteria	0.361683	0.377659
6.c__Gammaproteobacteria	0.256315	0.487456
7.c__Bacilli	0.227054	0.60249
8.c__Coriobacteriia	0.412476	0.591766
9.c__Endomicrobia	0.152719	0.041387
10.c__Saccharimonadia	0.374598	0.732869
11.c__Negativicutes	0.265558	0.3306
12.c__Actinobacteria	0.000001	0.018963
13.c__Oligoflexia	0.000001	0.134543
14.c__Elusimicrobia	0.066008	0.018111
15.c__Campylobacteria	0.169252	0.575287
16.c__Synergistia	0.057507	0.402576
17.c__Lentisphaeria	0.346179	0.326511
18.c__Verrucomicrobiae	0.136846	0.016806
19.c__Anaerolineae	0.002026	0.022575
1.o__Bacteroidales	0.182829	0.260546
2.o__Oscillospirales	0.511806	0.969625
3.o__Spirochaetales	0.584452	0.63341
4.o__Lachnospirales	0.460464	0.793477
5.o__Clostridia_vadinBB60_group	0.285332	0.210265
6.o__Fibrobacterales	0.387993	0.791994
7.o__Peptostreptococcales-Tissierellales	0.696637	0.665429818
8.o__Christensenellales	0.472516	0.887558
9.o__Clostridia_UCG-014	0.340816	0.816188
10.o__Absconditabacteriales_SR1	0.361683	0.377659
11.o__Aeromonadales	0.256315	0.487456
12.o__Clostridia	0.717992	0.959258
13.o__Erysipelotrichales	0.144396	0.305037
14.o__Coriobacteriales	0.412476	0.591766
15.o__Eubacteriales	0.239009	0.286497
16.o__Endomicrobiales	0.152719	0.041387
17.o__Saccharimonadales	0.374598	0.732869
18.o__Veillonellales-Selenomonadales	0.265558	0.3306
19.o__Monoglobales	0.54563	0.818406
20.o__Acholeplasmatales	0.21532	0.553201
21.o__Clostridia_unclassified	0.322326	0.801041
22.o__0319-6G20	0.000001	0.134543
23.o__uncultured	0.136856	0.255663
24.o__Bifidobacteriales	0.096043	0.192179
25.o__Clostridiales	0.225286	0.52175
26.o__Campylobacterales	0.169252	0.575287
27.o__Izemoplasmatales	0.138372	0.077267
28.o__Bacteroidia_unclassified	0.264924	0.063387
29.o__Mycoplasmatales	0.000001	0.13804
30.o__Synergistales	0.057507	0.402576
31.o__Victivallales	0.346179	0.326511
32.o__Anaerolineales	0.002026	0.022575
33.o__Pedosphaerales	0.260257	0.048725
1.f__Rikenellaceae	0.202932	0.499524
2.f__UCG-010	0.463641	0.977747
3.f__Spirochaetaceae	0.584452	0.63341
4.f__Lachnospiraceae	0.459193	0.791973
5.f__Bacteroidales_RF16_group	0.421662	0.413968
6.f__F082	0.171301	0.428162
7.f__Prevotellaceae	0.398926	0.765538
8.f__Ruminococcaceae	0.521763	0.760758
9.f__Clostridia_vadinBB60_group	0.285332	0.210265
10.f__Fibrobacteraceae	0.387993	0.791994
11.f__Anaerovoracaceae	0.714659	0.665429818
12.f__Christensenellaceae	0.472516	0.887558
