Heritable	Non heritable
96	22
193	27
230	0
2	2
99	0
113	74
193	0
230	68
0	22
433	0
320	0
375	2
40	0
43	0
175	74
0	0
171	68
193	20
10	17
1	0
230	2
45	1
663	0
21	0
0	0
433	0
4	74
375	68
1	0
40	2
43	0
178	0
0	0
260	6
279	0
0	8
1	2
6	2
3	0
0	1
0	0
0	11
1	12
1	0
193	74
10	68
15	0
104	0
252	0
1	2
230	0
25	1
663	0
1246	0
21	0
0	0
195	0
0	0
433	2
4	3
699	171
6	0
6	2
703	0
134	0
40	0
43	0
511	0
1	2
0	2
178	0
260	0
279	0
0	1
1	0
0	0
0	14
0	1
1	11
6	0
3	0
2	24
0	0
0	1
1	0
0	12
0	0
1	2
1	1
189	0
15	0
83	1
2	5
103	0
217	86
2	1
1	4
1038	0
212	0
13	0
661	0
1	68
12	2
1246	1
26	0
21	0
0	0
0	1
195	0
0	
4	
775	
0	
6	
7	
6	
5	
198	
166	
3	
9	
4	
22	
0	
40	
0	
15	
0	
698	
511	
1080	
594	
67	
0	
1	
0	
178	
54	
279	
0	
0	
43	
1377	
446	
0	
5	
1	
50	
328	
0	
787	
0	
48	
0	
0	
3	
0	
0	
6	
978	
0	
9	
10	
46	
6	
3	
1	
2	
0	
8	
0	
441	
1	
0	
0	
0	
0	
0	
68	
2	
68	
2	
4	
0	
68	
2	
4	
0	
68	
2	
4	
0	
74	
1	
3	
49	
4	
1318	
59	
6	
11	
0	
5	
0	
1	
25	
2	
3	
5	
4	
0	
27	
288	
0	
0	
0	
0	
0	
1	
