taxa	rank	score
g__Methanomicrobium	48	80
s__Methanimicrococcus_unclassified	47	72
s__Methanomassiliicoccus_unclassified3	45	70
s__Methanomassiliicoccus_unclassified4	46	70
s__Methanomassiliicoccus_unclassified1	43	55
s__Methanomethylophilus_unclassified4	44	55
g__Methanobacteriaceae_unclassified	42	54
p__Halobacterota	40	53
s__Methanobrevibacter_millerae	41	53
g__Methanosphaera	39	51
s__Methanobacterium_paludis	36	49
s__Methanomethylophilus_unclassified1	37	49
s__Methanosphaera_stadtmanae	38	49
s__Methanobacterium_flexile	35	48
s__Methanosphaera_cuniculi	34	46
s__Methanobrevibacter_boviskoreani	33	45
s__Methanobrevibacter_thaueri	31	44
s__Methanomassiliicoccus_unclassified2	32	44
c__Methanomicrobia	26	43
o__Methanomicrobiales	27	43
f__Methanomicrobiaceae	28	43
s__Methanobrevibacter_smithii	29	43
s__Methanimicrococcus_blatticola	30	43
s__Methanomassiliicoccus_unclassified5	25	42
s__Methanomicrobium_mobile	24	41
s__Methanomassiliicoccus_unclassified6	23	40
g__Methanobacterium	20	39
g__Methanimicrococcus	21	39
s__Methanobrevibacter_gottschalkii 	22	39
c__Methanosarcinia	17	38
o__Methanosarciniales	18	38
f__Methanosarcinaceae	19	38
s__Methanomethylophilus_unclassified2	16	37
s__Methanomassiliicoccus_luminyensis	15	36
s__Methanobrevibacter_ruminantium	14	34
g__Methanomassiliicoccus	13	29
g__Methanobrevibacter	11	24
g__Methanomethylophilus	12	24
c__Thermoplasmata	8	22
o__Methanomassiliicoccales	9	22
f__Methanomassiliicoccaceae	10	22
p__Thermoplasmatota	7	15
c__Methanobacteria	4	13
o__Methanobacteriales	5	13
f__Methanobacteriaceae	6	13
p__Euryarchaeota	3	10
s__Methanobrevibacter_oralis	1	0
s__Methanomethylophilus_unclassified3	2	0
