TWAS	GWAS	Overlapped
A4GALT	ABCG8	ADAMTSL3
AAMDC	ABHD17C	AFF3
AAMP	ABL1	AGPAT4
AARS	ABLIM1	ANXA8L1
AARS2	ACACB	APP
AASS	ACADSB	ASPH
AATF	ACBD3	ATP1B3
ABCC3	ACPP	BCL9
ABHD1	ACSL6	BNC2
ABHD16A	ACTR3B	BSPRY
ABHD5	ACVR2A	C21H15orf39
ABI2	ADAMTSL1	CACNA2D1
ACADS	ADAMTSL3	CCDC85A
ACADVL	ADCY8	CD28
ACAT1	ADGRB3	CD53
ACBD4	ADK	CD55
ACIN1	ADRA2C	CHD1L
ACOX2	AFDN	CMYA5
ACP5	AFF1	CNTLN
ACSS1	AFF3	CNTNAP2
ACTA1	AGA	CRISPLD1
ACTB	AGBL1	DDIT4L
ACTG1	AGBL4	DLG2
ACTG2	AGPAT4	DSC3
ACTL8	AGR3	DTNA
ACTN1	AK5	DUSP10
ACTN2	AKAP11	DUSP26
ACTR10	AKAP2	ELP3
ACTR1B	AMOTL2	EML1
ACVR1	ANAPC1	ENAH
ADAM23	ANAPC13	ENOX1
ADAM8	ANK3	ENTPD6
ADAMTS9	ANKRD42	FAM167A
ADAMTSL3	ANKRD50	FBXL22
ADAR	ANKS1B	FBXL7
ADCK5	ANO4	FCER1A
ADCY3	ANXA8L1	FKRP
ADCY5	APOA4	GBA3
ADCY6	APP	GCK
ADCY9	AQP4	GMPR
ADD1	AQP9	GNA12
ADGRE5	AREG	HDAC4
ADGRF2	ARHGAP15	IFT52
ADGRG5	ARHGAP17	IL16
ADGRG6	ARHGAP18	IMMP2L
ADGRV1	ARHGAP22	KAZN
ADHFE1	ARHGAP26	KHDRBS3
ADORA2B	ARHGEF10L	KIAA1211L
AEN	ARHGEF3	KYNU
AFF3	ARID3B	LCLAT1
AGPAT4	ARL14EP	LIMS2
AHCYL2	ARNT2	LOC100300510
AHI1	ARSB	LOC100336282
AHSA1	ART3	LOC104974530
AIF1	ASCL1	LOC513508
AIMP1	ASNS	LOC617654
AIP	ASNSD1	LOC782039
