taxa	rank	score
g__Methanomicrobium	48	1784
s__Methanomassiliicoccus_unclassified4	47	387
g__Methanosphaera	46	133
g__Methanomassiliicoccus	45	105
p__Thermoplasmatota	41	96
c__Thermoplasmata	42	96
o__Methanomassiliicoccales	43	96
f__Methanomassiliicoccaceae	44	96
s__Methanomassiliicoccus_luminyensis	40	93
s__Methanomassiliicoccus_unclassified3	39	85
s__Methanosphaera_stadtmanae	38	65
s__Methanobrevibacter_gottschalkii 	36	18
s__Methanobrevibacter_boviskoreani	37	18
s__Methanomassiliicoccus_unclassified1	35	12
s__Methanomassiliicoccus_unclassified2	34	11
s__Methanobacterium_paludis	33	9
g__Methanimicrococcus	32	8
p__Euryarchaeota	28	7
c__Methanobacteria	29	7
o__Methanobacteriales	30	7
f__Methanobacteriaceae	31	7
p__Halobacterota	22	6
c__Methanosarcinia	23	6
o__Methanosarciniales	24	6
f__Methanosarcinaceae	25	6
g__Methanomethylophilus	26	6
s__Methanomethylophilus_unclassified2	27	6
g__Methanobrevibacter	19	4
g__Methanobacterium	20	4
s__Methanobrevibacter_oralis	21	4
s__Methanimicrococcus_blatticola	17	3
s__Methanomethylophilus_unclassified3	18	3
s__Methanobrevibacter_ruminantium	15	2
s__Methanimicrococcus_unclassified	16	2
s__Methanobrevibacter_thaueri	12	1
s__Methanomassiliicoccus_unclassified6	13	1
s__Methanomethylophilus_unclassified4	14	1
c__Methanomicrobia	1	0
o__Methanomicrobiales	2	0
f__Methanomicrobiaceae	3	0
g__Methanobacteriaceae_unclassified	4	0
s__Methanobrevibacter_smithii	5	0
s__Methanomethylophilus_unclassified1	6	0
s__Methanobrevibacter_millerae	7	0
s__Methanomassiliicoccus_unclassified5	8	0
s__Methanosphaera_cuniculi	9	0
s__Methanobacterium_flexile	10	0
s__Methanomicrobium_mobile	11	0
