Var1	Var2	cor	abs	pvalue
Isovaleic_acid	g__Papillibacter	0.384232004	0.384232004	2.78E-19
Isobutyic_acid	g__Papillibacter	0.379708639	0.379708639	7.81E-19
Isobutyic_acid	g__Lachnoclostridium	0.356227884	0.356227884	1.29E-16
Isovaleic_acid	g__Oscillospirales_UCG.010	0.335079621	0.335079621	9.08E-15
Isobutyic_acid	g__Oscillospirales_UCG.010	0.329682613	0.329682613	2.56E-14
Isobutyic_acid	g__Oscillospiraceae_UCG.005	0.328461512	0.328461512	3.22E-14
Isobutyic_acid	g__Anaerovorax	0.317637064	0.317637064	2.39E-13
Isobutyic_acid	g__Lachnospiraceae_FCS020_group	0.310727542	0.310727542	1.38E-12
Isovaleic_acid	g__Oscillospiraceae_UCG.005	0.297988348	0.297988348	7.42E-12
Isobutyic_acid	g__Ruminiclostridium	0.296649548	0.296649548	9.74E-12
Total_VFAs	g__Clostridia_UCG.014	0.29406819	0.29406819	1.43E-11
Isobutyic_acid	g__Bacteroidales_UCG.001	0.286828135	0.286828135	4.66E-11
Isovaleic_acid	g__Anaerovorax	0.283080118	0.283080118	8.50E-11
Butyic_acid	g__Bacteroidales_UCG.001	-0.281962882	0.281962882	1.01E-10
Isobutyic_acid	g__Marinilabiliaceae_unclassified	0.283128681	0.283128681	2.56E-10
Isobutyic_acid	g__.Eubacterium._coprostanoligenes_group	0.274923467	0.274923467	3.04E-10
Popionic_acid	g__Bacteroidales_F082	-0.26695182	0.26695182	1.14E-09
Total_VFAs	g__Papillibacter	-0.266116509	0.266116509	1.15E-09
Total_VFAs	g__.Eubacterium._ventriosum_group	0.264928871	0.264928871	3.89E-09
Acetic_Popionic_ratio	g__Bacteroidales_F082	0.255647475	0.255647475	5.81E-09
Popionic_acid	g__Prevotella	0.254210229	0.254210229	6.42E-09
Total_VFAs	g__Oscillospiraceae_UCG.005	-0.250539374	0.250539374	1.07E-08
Isovaleic_acid	g__.Eubacterium._coprostanoligenes_group	0.24818308	0.24818308	1.48E-08
Isovaleic_acid	g__Lachnoclostridium	0.241888075	0.241888075	3.48E-08
Acetic_Popionic_ratio	g__Prevotella	-0.240305346	0.240305346	4.30E-08
Isobutyic_acid	g__Saccharofermentans	0.234099185	0.234099185	9.69E-08
Butyic_acid	g__Monoglobus	-0.249995488	0.249995488	1.40E-07
Isovaleic_acid	g__Marinilabiliaceae_unclassified	0.236594721	0.236594721	1.52E-07
Isovaleic_acid	g__Ruminiclostridium	0.227235397	0.227235397	2.38E-07
Isobutyic_acid	g__Lachnospiraceae_UCG.008	0.229663852	0.229663852	2.39E-07
Isobutyic_acid	g__Marinifilaceae_unclassified	0.246257222	0.246257222	2.82E-07
Valeic_acid	g__Acetitomaculum	0.235120469	0.235120469	2.84E-07
Total_VFAs	g__Lachnoclostridium	-0.223433481	0.223433481	3.72E-07
Popionic_acid	g__Papillibacter	-0.220548058	0.220548058	5.29E-07
Total_VFAs	g__Anaeroplasma	0.244299624	0.244299624	5.51E-07
Isobutyic_acid	g__Lachnospiraceae_unclassified1	0.218344298	0.218344298	6.90E-07
Popionic_acid	g__Rikenellaceae_RC9_gut_group	-0.218103323	0.218103323	7.10E-07
Isovaleic_acid	g__Prevotella	-0.217820549	0.217820549	7.34E-07
Isobutyic_acid	g__Bacteroidales_BS11_gut_group	0.217535404	0.217535404	7.79E-07
Butyic_acid	g__.Eubacterium._ventriosum_group	0.22302759	0.22302759	8.19E-07
Acetic_Popionic_ratio	g__Papillibacter	0.215620891	0.215620891	9.54E-07
Total_VFAs	g__Prevotella	0.215004875	0.215004875	1.03E-06
Butyic_acid	g__Lachnoclostridium	-0.212893695	0.212893695	1.32E-06
Isobutyic_acid	g__probable_genus_10	0.213212655	0.213212655	1.47E-06
Isovaleic_acid	g__Saccharofermentans	0.211294426	0.211294426	1.59E-06
Butyic_acid	g__Saccharofermentans	-0.210864971	0.210864971	1.67E-06
Total_VFAs	g__.Eubacterium._coprostanoligenes_group	-0.210805397	0.210805397	1.68E-06
Acetic_Popionic_ratio	g__Rikenellaceae_RC9_gut_group	0.209657738	0.209657738	1.92E-06
Butyic_acid	g__Papillibacter	-0.208687495	0.208687495	2.14E-06
Acetic_Popionic_ratio	g__Oscillospiraceae_V9D2013_group	0.209252577	0.209252577	2.53E-06
Total_VFAs	g__Oscillospirales_UCG.010	-0.206733631	0.206733631	2.68E-06
Isobutyic_acid	g__Bacteroidetes_BD2.2	0.236074003	0.236074003	3.09E-06
Isobutyic_acid	g__Prevotella	-0.205249323	0.205249323	3.16E-06
Valeic_acid	g__Lachnospiraceae_NK3A20_group	0.205631342	0.205631342	3.24E-06
Isovaleic_acid	g__Bacteroidales_UCG.001	0.20406671	0.20406671	3.61E-06
Isovaleic_acid	g__Lachnospiraceae_FCS020_group	0.205706128	0.205706128	3.77E-06
Popionic_acid	g__Oscillospiraceae_V9D2013_group	-0.203992919	0.203992919	4.55E-06
Popionic_acid	g__Oscillospirales_UCG.010	-0.201588643	0.201588643	4.76E-06
Isobutyic_acid	g__Clostridia_UCG.014	-0.201541637	0.201541637	4.79E-06
Butyic_acid	g__Rikenellaceae_U29.B03	-0.203455596	0.203455596	5.51E-06
Isobutyic_acid	g__Monoglobus	0.215736726	0.215736726	6.06E-06
Acetic_Popionic_ratio	g__Oscillospirales_UCG.010	0.19918236	0.19918236	6.21E-06
Isobutyic_acid	g__Lachnospiraceae_AC2044_group	0.199076598	0.199076598	6.28E-06
Total_VFAs	g__Erysipelatoclostridiaceae_UCG.004	0.201101156	0.201101156	6.51E-06
Total_VFAs	g__Bacteroidales_F082	-0.199272835	0.199272835	6.55E-06
Butyic_acid	g__Lachnospiraceae_NK4A136_group	-0.200915748	0.200915748	6.79E-06
Isovaleic_acid	g__Bacteroidales_F082	0.197104141	0.197104141	8.28E-06
Total_VFAs	g__Monoglobus	-0.212197803	0.212197803	8.65E-06
Butyic_acid	g__.Eubacterium._coprostanoligenes_group	-0.192879979	0.192879979	1.22E-05
